symbol,context,meaning,context_len,n_interps
M,"To see the letter ""M"" in your dream"," suggests that there is something that you are keeping silent about. Perhaps you have been sworn to secrecy. Alternatively, the dream may imply ""Mmmmm"". Your subconscious mind is hungering for knowledge or information. As a Roman Numeral, it could represent the number 1000.",35,1
M&M's,To see or eat M&M's in your dream," symbolizes life's small, but sweet rewards. More directly, M&M may represent the initials of two people in your waking life.",33,2
M&M's,To dream that you are a giant talking M&M, suggests that you feel you are being mislead or taking advantaged of. Perhaps you feel that you are being someone you are not in order to please others.,41,2
Macadamize,"To see, walk or travel on a macadamized road in your dream", suggests that you are standing on solid ground. You have laid out a solid groundwork for much success in your life.,58,1
Macaroni,To dream that you are eating macaroni, symbolizes comfort and ease. The dream may be trying to bring you back to a time where things were much simpler.,37,1
Macaroon,To see or eat a macaroon in your dream, represents a well-rounded experience. You are successfully balancing different aspects of your life.,38,1
Macaw,#Ref:parrot,#Ref:parrot,11,1
Mace,To see or use mace in your dream, represents your quest for objectivity over subjectivity. You do not let your emotions rule your actions.,32,1
Machete,To see or use a machete in your dream," represents extreme hostility toward some situation or someone. It is symbolic of destruction and frustrations in your life. You are not expressing your anger in a productive way. In particular, if the machete is being used to clear through brush, then it refers to your ability to tackle problems successfully. Alternatively, the machete can be seen as a phallic symbol and thus represent masculine power.",37,1
Machine Gun,To see or shoot a machine gun in you dream, suggests that your anger or aggression is out of control. You need to keep your temper in check.,42,2
Machine Gun,To dream that someone is shooting you with a machine gun, implies that a great deal of anger is being directed towards you.,56,2
Machinery,To see machinery in your dream," suggests that you are too mechanical - going about your way without much thought and making decisions without thinking it through. You need to get out of your boring pattern. Alternatively, the machinery symbolizes your mind or your body. Examine how the machinery is running and its condition and function. If the machinery is in need of repair, then it suggests that you may need to repair aspects of your self-image or a relationship. If the machine is rusty, then it signifies an outdated way of doing something.",30,1
Mackerel,To see or eat mackerel in your dream," signifies your quickness in confronting some suppressed emotions. If you do not address these emotional issues, you will feel confined and even suffocated.",36,1
Mad Dog,To see a mad dog in your dream, suggests that you are being verbally attacked by those you thought were your friends.,30,2
Mad Dog,To dream that you kill a mad dog, indicates that you will overcome the adverse opinions of others.,32,2
Madness,To dream that you are diagnosed with madness or that you are mad," forewarns of trouble, loss, and overwhelming grief. You are behaving in an inappropriate way in some area of your waking life. Alternatively, the dream suggests that you are feeling restricted. Or that you are unable to express yourself.",64,2
Madness,To see others suffering from madness," signifies gloominess, despair and hopelessness.",36,2
Madonna,To see the Madonna in your dream," symbolizes the mystical mother and the giver of life. She represents blessings, purity and virginal love. Alternatively, this image signifies feminine power and change.",32,2
Madonna,"If you dream of the pop star Madonna, ","then it points to your ever changing personalities. The dream also indicates confidence, sexiness, beauty, talent and freedom of expression. She may appear in your dream to deliver some message or provide advice. Look to her songs for clues. Is the dream saying ""papa don't preach""? Or are you ""like a virgin""? She may even be telling you to ""cherish the love you have"". Known as the ""material girl"", the dream could also suggests that you are being too materialistic and superficial.",38,2
Mafia,To dream that you are a member of a mafia, suggests that you are allowing others to manipulate you. Or you are using your power against others.,41,2
